# cpt2qgis Generated Color Map Export File
INTERPOLATION:INTERPOLATED
-8000, 0, 0, 0, 255, -8000
-7000, 0, 5, 25, 255, -7000
-6000, 0, 10, 50, 255, -6000
-5000, 0, 80, 125, 255, -5000
-4000, 0, 150, 200, 255, -4000
-3000, 86, 197, 184, 255, -3000
-2000, 172, 245, 168, 255, -2000
-1000, 211, 250, 211, 255, -1000
0, 250, 255, 255, 255, 0
0, 70, 120, 50, 255, 0
500, 120, 100, 50, 255, 500
1000, 146, 126, 60, 255, 1000
2000, 198, 178, 80, 255, 2000
3000, 250, 230, 100, 255, 3000
4000, 250, 234, 126, 255, 4000
5000, 252, 238, 152, 255, 5000
6000, 252, 243, 177, 255, 6000
7000, 253, 249, 216, 255, 7000
8000, 255, 255, 255, 255, 8000
